SP-[1] Epoch: 30/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.52  Acc 63.39% | Val: Loss nan  Acc(top1) 51.45% | HA 0.00@0

SP-[1] Epoch: 31/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.52  Acc 64.62% | Val: Loss nan  Acc(top1) 54.35% | HA 0.00@0

SP-[1] Epoch: 32/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.51  Acc 64.84% | Val: Loss nan  Acc(top1) 57.73% | HA 0.00@0

SP-[1] Epoch: 33/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.52  Acc 64.06% | Val: Loss nan  Acc(top1) 52.66% | HA 0.00@0

SP-[1] Epoch: 34/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.50  Acc 64.96% | Val: Loss nan  Acc(top1) 58.94% | HA 0.00@0

SP-[1] Epoch: 35/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.52  Acc 64.73% | Val: Loss nan  Acc(top1) 53.14% | HA 0.00@0

SP-[1] Epoch: 36/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.49  Acc 64.17% | Val: Loss nan  Acc(top1) 57.25% | HA 0.00@0

SP-[1] Epoch: 37/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.46  Acc 64.62% | Val: Loss nan  Acc(top1) 50.24% | HA 0.00@0

SP-[1] Epoch: 38/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.49  Acc 65.85% | Val: Loss nan  Acc(top1) 57.00% | HA 0.00@0

SP-[1] Epoch: 39/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.47  Acc 67.52% | Val: Loss nan  Acc(top1) 53.38% | HA 0.00@0

SP-[1] Epoch: 40/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.47  Acc 67.86% | Val: Loss nan  Acc(top1) 51.21% | HA 0.00@0

