SP-[1] Epoch: 30/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.53  Acc 62.83% | Val: Loss nan  Acc(top1) 45.65% | HA 0.00@0

SP-[1] Epoch: 31/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.51  Acc 64.40% | Val: Loss -0.41  Acc(top1) 45.65% | HA 0.00@0

SP-[1] Epoch: 32/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.51  Acc 62.28% | Val: Loss nan  Acc(top1) 50.00% | HA 0.00@0

SP-[1] Epoch: 33/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.53  Acc 63.06% | Val: Loss 1.64  Acc(top1) 25.12% | HA 0.00@0

SP-[1] Epoch: 34/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.50  Acc 60.94% | Val: Loss nan  Acc(top1) 47.83% | HA 0.00@0

SP-[1] Epoch: 35/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.50  Acc 63.73% | Val: Loss 1.08  Acc(top1) 40.34% | HA 0.00@0

SP-[1] Epoch: 36/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.49  Acc 62.83% | Val: Loss -0.41  Acc(top1) 45.41% | HA 0.00@0

SP-[1] Epoch: 37/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.49  Acc 63.62% | Val: Loss nan  Acc(top1) 49.03% | HA 0.00@0

SP-[1] Epoch: 38/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.50  Acc 64.73% | Val: Loss nan  Acc(top1) 47.34% | HA 0.00@0

SP-[1] Epoch: 39/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.51  Acc 63.39% | Val: Loss -0.41  Acc(top1) 45.41% | HA 0.00@0

SP-[1] Epoch: 40/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.51  Acc 63.28% | Val: Loss nan  Acc(top1) 49.76% | HA 0.00@0

SP-[1] Epoch: 41/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.52  Acc 61.83% | Val: Loss nan  Acc(top1) 55.80% | HA 0.00@0

SP-[1] Epoch: 42/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.52  Acc 60.60% | Val: Loss nan  Acc(top1) 36.96% | HA 0.00@0

SP-[1] Epoch: 43/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.55  Acc 60.83% | Val: Loss nan  Acc(top1) 22.46% | HA 0.00@0
