SP-[1] Epoch: 1/1700 | Time: 0m04s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.13  Acc 87.11% | Val: Loss nan  Acc(top1) 96.59% | HA 0.00@0

SP-[1] Epoch: 2/1700 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.14  Acc 89.06% | Val: Loss nan  Acc(top1) 95.45% | HA 0.00@0

SP-[1] Epoch: 3/1700 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.13  Acc 85.94% | Val: Loss nan  Acc(top1) 83.52% | HA 0.00@0

SP-[1] Epoch: 4/1700 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.15  Acc 86.72% | Val: Loss nan  Acc(top1) 95.45% | HA 0.00@0

SP-[1] Epoch: 5/1700 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.13  Acc 88.02% | Val: Loss nan  Acc(top1) 94.32% | HA 0.00@0

SP-[1] Epoch: 6/1700 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.14  Acc 90.76% | Val: Loss nan  Acc(top1) 92.61% | HA 0.00@0

SP-[1] Epoch: 7/1700 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.13  Acc 86.46% | Val: Loss nan  Acc(top1) 94.32% | HA 0.00@0

SP-[1] Epoch: 8/1700 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.13  Acc 87.89% | Val: Loss nan  Acc(top1) 92.61% | HA 0.00@0

SP-[1] Epoch: 9/1700 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.14  Acc 87.50% | Val: Loss nan  Acc(top1) 85.80% | HA 0.00@0

SP-[1] Epoch: 10/1700 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.15  Acc 85.55% | Val: Loss nan  Acc(top1) 86.36% | HA 0.00@0

