SP-[1] Epoch: 1/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.11  Acc 89.20% | Val: Loss nan  Acc(top1) 96.72% | HA 0.00@0

SP-[1] Epoch: 2/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.10  Acc 92.19% | Val: Loss nan  Acc(top1) 84.15% | HA 0.00@0

SP-[1] Epoch: 3/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.12  Acc 89.06% | Val: Loss nan  Acc(top1) 83.06% | HA 0.00@0

SP-[1] Epoch: 4/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.11  Acc 89.77% | Val: Loss nan  Acc(top1) 96.17% | HA 0.00@0

SP-[1] Epoch: 5/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.12  Acc 88.92% | Val: Loss nan  Acc(top1) 96.72% | HA 0.00@0

SP-[1] Epoch: 6/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.11  Acc 90.34% | Val: Loss nan  Acc(top1) 85.79% | HA 0.00@0

SP-[1] Epoch: 7/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.10  Acc 89.35% | Val: Loss nan  Acc(top1) 96.72% | HA 0.00@0

SP-[1] Epoch: 8/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.10  Acc 90.77% | Val: Loss nan  Acc(top1) 85.25% | HA 0.00@0

SP-[1] Epoch: 9/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.10  Acc 90.91% | Val: Loss nan  Acc(top1) 97.27% | HA 0.00@0

SP-[1] Epoch: 10/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.12  Acc 92.19% | Val: Loss nan  Acc(top1) 77.05% | HA 0.00@0

SP-[1] Epoch: 11/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 86.51% | Val: Loss nan  Acc(top1) 83.61% | HA 0.00@0

SP-[1] Epoch: 12/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 87.36% | Val: Loss nan  Acc(top1) 96.17% | HA 0.00@0

SP-[1] Epoch: 13/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 86.93% | Val: Loss nan  Acc(top1) 80.33% | HA 0.00@0

SP-[1] Epoch: 14/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 88.35% | Val: Loss nan  Acc(top1) 90.16% | HA 0.00@0

SP-[1] Epoch: 15/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 91.34% | Val: Loss nan  Acc(top1) 66.67% | HA 0.00@0

SP-[1] Epoch: 16/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 87.07% | Val: Loss nan  Acc(top1) 95.63% | HA 0.00@0

SP-[1] Epoch: 17/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.15  Acc 88.49% | Val: Loss nan  Acc(top1) 49.18% | HA 0.00@0

SP-[1] Epoch: 18/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 86.22% | Val: Loss nan  Acc(top1) 55.74% | HA 0.00@0

SP-[1] Epoch: 19/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 86.65% | Val: Loss nan  Acc(top1) 92.35% | HA 0.00@0

SP-[1] Epoch: 20/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 87.36% | Val: Loss nan  Acc(top1) 68.85% | HA 0.00@0

SP-[1] Epoch: 21/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 87.36% | Val: Loss nan  Acc(top1) 71.04% | HA 0.00@0

SP-[1] Epoch: 22/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.11  Acc 86.93% | Val: Loss nan  Acc(top1) 94.54% | HA 0.00@0

SP-[1] Epoch: 23/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 89.20% | Val: Loss nan  Acc(top1) 95.08% | HA 0.00@0

SP-[1] Epoch: 24/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 87.36% | Val: Loss nan  Acc(top1) 90.16% | HA 0.00@0

SP-[1] Epoch: 25/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 88.64% | Val: Loss nan  Acc(top1) 52.46% | HA 0.00@0

SP-[1] Epoch: 26/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.11  Acc 88.64% | Val: Loss nan  Acc(top1) 91.80% | HA 0.00@0

SP-[1] Epoch: 27/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 87.07% | Val: Loss nan  Acc(top1) 90.16% | HA 0.00@0

SP-[1] Epoch: 28/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 86.65% | Val: Loss nan  Acc(top1) 66.12% | HA 0.00@0

SP-[1] Epoch: 29/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 87.64% | Val: Loss nan  Acc(top1) 96.72% | HA 0.00@0

SP-[1] Epoch: 30/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 86.93% | Val: Loss nan  Acc(top1) 90.71% | HA 0.00@0

SP-[1] Epoch: 31/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 88.21% | Val: Loss nan  Acc(top1) 93.99% | HA 0.00@0

SP-[1] Epoch: 32/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 87.78% | Val: Loss nan  Acc(top1) 92.90% | HA 0.00@0

SP-[1] Epoch: 33/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 87.64% | Val: Loss nan  Acc(top1) 56.83% | HA 0.00@0

SP-[1] Epoch: 34/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 89.49% | Val: Loss nan  Acc(top1) 92.90% | HA 0.00@0

SP-[1] Epoch: 35/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 89.35% | Val: Loss nan  Acc(top1) 87.98% | HA 0.00@0

SP-[1] Epoch: 36/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 86.65% | Val: Loss nan  Acc(top1) 87.98% | HA 0.00@0

SP-[1] Epoch: 37/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 86.93% | Val: Loss nan  Acc(top1) 69.40% | HA 0.00@0

SP-[1] Epoch: 38/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 91.34% | Val: Loss nan  Acc(top1) 87.98% | HA 0.00@0

SP-[1] Epoch: 39/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 87.93% | Val: Loss nan  Acc(top1) 54.10% | HA 0.00@0

SP-[1] Epoch: 40/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 87.36% | Val: Loss nan  Acc(top1) 79.78% | HA 0.00@0

SP-[1] Epoch: 41/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 89.63% | Val: Loss nan  Acc(top1) 96.17% | HA 0.00@0

SP-[1] Epoch: 42/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 87.50% | Val: Loss nan  Acc(top1) 90.16% | HA 0.00@0

SP-[1] Epoch: 43/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 87.50% | Val: Loss nan  Acc(top1) 71.04% | HA 0.00@0

SP-[1] Epoch: 44/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 87.93% | Val: Loss nan  Acc(top1) 92.90% | HA 0.00@0

SP-[1] Epoch: 45/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 87.36% | Val: Loss nan  Acc(top1) 81.97% | HA 0.00@0

SP-[1] Epoch: 46/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 89.06% | Val: Loss nan  Acc(top1) 94.54% | HA 0.00@0

SP-[1] Epoch: 47/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 88.49% | Val: Loss nan  Acc(top1) 93.44% | HA 0.00@0

SP-[1] Epoch: 48/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 88.92% | Val: Loss nan  Acc(top1) 95.63% | HA 0.00@0

SP-[1] Epoch: 49/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 89.63% | Val: Loss nan  Acc(top1) 89.07% | HA 0.00@0

SP-[1] Epoch: 50/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 89.35% | Val: Loss nan  Acc(top1) 57.92% | HA 0.00@0

SP-[1] Epoch: 51/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 88.49% | Val: Loss nan  Acc(top1) 95.08% | HA 0.00@0

SP-[1] Epoch: 52/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 89.06% | Val: Loss nan  Acc(top1) 97.27% | HA 0.00@0

SP-[1] Epoch: 53/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 88.35% | Val: Loss nan  Acc(top1) 45.90% | HA 0.00@0

SP-[1] Epoch: 54/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 87.64% | Val: Loss nan  Acc(top1) 98.91% | HA 0.00@0

SP-[1] Epoch: 55/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 87.22% | Val: Loss nan  Acc(top1) 94.54% | HA 0.00@0

SP-[1] Epoch: 56/1750 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 89.91% | Val: Loss nan  Acc(top1) 63.39% | HA 0.00@0

