save model:uec_4C_weight_prun_fold1_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:86.33879089355469, valAcc:86.33879089355469, trainAcc:85.6534090909091, record@7-epoch
save model:uec_4C_weight_prun_fold1_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:95.08197021484375, valAcc:95.08197021484375, trainAcc:86.36363636363636, record@19-epoch
save model:uec_4C_weight_prun_fold1_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:95.08197021484375, valAcc:85.79234313964844, trainAcc:87.2159090909091, record@20-epoch
save model:uec_4C_weight_prun_fold1_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:95.08197021484375, valAcc:93.98906707763672, trainAcc:89.63068181818183, record@22-epoch
save model:uec_4C_weight_prun_fold1_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:95.08197021484375, valAcc:94.53551483154297, trainAcc:88.21022727272727, record@23-epoch
save model:uec_4C_weight_prun_fold1_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:95.08197021484375, valAcc:93.98906707763672, trainAcc:87.92613636363636, record@24-epoch
save model:uec_4C_weight_prun_fold1_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:95.08197021484375, valAcc:86.33879089355469, trainAcc:85.22727272727273, record@26-epoch
save model:uec_4C_weight_prun_fold1_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:95.08197021484375, valAcc:93.98906707763672, trainAcc:88.21022727272727, record@31-epoch
save model:uec_4C_weight_prun_fold1_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:95.08197021484375, valAcc:91.80327606201172, trainAcc:87.07386363636364, record@33-epoch
save model:uec_4C_weight_prun_fold1_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:95.08197021484375, valAcc:93.98906707763672, trainAcc:88.21022727272727, record@35-epoch
save model:uec_4C_weight_prun_fold1_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:95.08197021484375, valAcc:90.16393280029297, trainAcc:89.0625, record@44-epoch
