SP-[1] Epoch: 31/1600 | Time: 0m04s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.17  Acc 82.25% | Val: Loss -0.32  Acc(top1) 53.86% | HA 0.00@0

SP-[1] Epoch: 32/1600 | Time: 0m04s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.15  Acc 82.81% | Val: Loss -0.32  Acc(top1) 53.38% | HA 0.00@0

SP-[1] Epoch: 33/1600 | Time: 0m04s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.15  Acc 81.25% | Val: Loss -0.23  Acc(top1) 58.45% | HA 0.00@0

SP-[1] Epoch: 34/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 83.71% | Val: Loss -0.28  Acc(top1) 55.80% | HA 0.00@0

SP-[1] Epoch: 35/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.15  Acc 82.14% | Val: Loss -0.31  Acc(top1) 54.35% | HA 0.00@0

SP-[1] Epoch: 36/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 84.04% | Val: Loss -0.28  Acc(top1) 56.04% | HA 0.00@0

SP-[1] Epoch: 37/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.15  Acc 83.26% | Val: Loss -0.28  Acc(top1) 56.76% | HA 0.00@0

SP-[1] Epoch: 38/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.16  Acc 84.15% | Val: Loss -0.20  Acc(top1) 56.52% | HA 0.00@0

SP-[1] Epoch: 39/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.15  Acc 82.70% | Val: Loss -0.29  Acc(top1) 56.76% | HA 0.00@0

